link,title,update_date
https://www.advertimes.com/20240117/article446107/,3000円で宿泊　佐賀県吉野ケ里町で車泊施設オープン、トラストパーク,2024.01.17
https://www.advertimes.com/20240117/article445388/,Inastagramで始めた「好きなもの繋がり」がきっかけ！D2Cブランドオーナ...,2024.01.17
https://www.advertimes.com/20240116/article446090/,試着室のあるコンビニ　「アーバン・ファミマ！！」リニューアル、アーバンリサーチ,2024.01.16
https://www.advertimes.com/20240116/article445997/,D&AD賞、日本からの審査員に八木義博、浅井雅也、米澤香子、有山達也、...,2024.01.16
https://www.advertimes.com/20240116/article446070/,「選べない」来店者にはどう対応？ サブウェイ独自の接客術とは,2024.01.16
https://www.advertimes.com/20231226/article444285/,データとテックの利活用に強いデジタルマーケティング集団,2023.12.26
https://www.advertimes.com/special/jpm/,広告主とメディアをつなぐプラットフォーム「日本のメディア」,2022.08.30
https://www.advertimes.com/20240116/article446082/,渋谷でブランドムービー公開　社名変更を若年層に周知、artience,2024.01.16
https://www.advertimes.com/20240116/article445980/,大谷選手がKONAMI野球ゲームアンバサダーに！パワプロ・プロスピ周年企画で登場...,2024.01.16
https://www.advertimes.com/20240116/article446000/,ベクトル、経常利益 32.5％減　24年2月期3Q,2024.01.16
https://www.advertimes.com/20240116/article445971/,JR東日本、上野駅に新たな交流拠点開業　3Dビジョンやイベントスペースで地域・企...,2024.01.16
https://www.advertimes.com/20240115/article445956/,プラップジャパン、経常利益 35.3％減　24年8月期1Q,2024.01.15
https://www.advertimes.com/20231228/article444436/,クライアントと共に未踏領域を切り拓ける人材を募集　Wunderman Thomp...,2023.12.28
https://www.advertimes.com/20240115/article445950/,美容師だけが購入可能なECサイト　8月までに2万会員見込む、コスモ,2024.01.15
https://www.advertimes.com/20240115/article445909/,Peatixの広報戦略、経営と一体化させたコミュニケーションとは,2024.01.15
https://www.advertimes.com/special/HRstrategyForMarketers/,成長企業の人材戦略,2019.06.28
https://www.advertimes.com/20240115/article445921/,粗利45％　町の電器店が高価格でも売れる理由、ライフテクトヤマグチ,2024.01.15
https://www.advertimes.com/20240115/article445800/,絵馬型年賀状で開運招福？ 編集部に届いた広告界ユニーク年賀状 2024〈後編〉,2024.01.15
title,lead,paragraph
